[14-Jun-2016 09:45:59 PRC] PHP Warning:  require(D:\wwwroot\shengqin\wwwroot\includes\lib_common.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in D:\wwwroot\shengqin\wwwroot\admin\includes\init.php on line 87
[07-Mar-2019 18:07:11 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:09:29 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:14:07 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:18:42 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:19:25 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:20:20 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:20:59 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:22:09 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:23:44 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:24:25 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:25:52 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:26:18 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:26:50 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:27:53 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:30:10 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:32:26 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:32:41 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:35:12 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:36:16 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:57:35 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 18:58:46 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 19:00:15 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 19:01:14 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 19:02:20 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 19:04:36 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 19:05:32 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 19:07:13 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 19:08:06 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[07-Mar-2019 19:10:19 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[08-Mar-2019 10:52:03 PRC] PHP Strict Standards:  Non-static method cls_image::gd_version() should not be called statically in D:\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 346
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/shop_config.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/cat_pid_releate.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/cat_option_static.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/goods_list.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:49:49 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/goods_list.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/pageheader.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:49:49 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/pageheader.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/goods_search.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:49:49 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/goods_search.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/page.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:49:49 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/page.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/pagefooter.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:49:49 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/pagefooter.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/shop_config.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/cat_pid_releate.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:49:49 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/cat_option_static.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:52:17 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/shop_config.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:52:17 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/cat_pid_releate.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:52:17 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/cat_option_static.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:52:17 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/goods_list.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:52:17 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/goods_list.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:52:17 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/pageheader.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:52:17 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/pageheader.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:52:17 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/goods_search.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:52:17 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/goods_search.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:52:17 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/page.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:52:17 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/page.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:52:17 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/pagefooter.htm.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 262
[11-Mar-2019 16:52:17 PRC] PHP Notice:  can't write:F:/phpstudy/PHPTutorial/WWW/shengqin/temp/compiled/admin/pagefooter.htm.php in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\cls_template.php on line 264
[11-Mar-2019 16:52:18 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/shop_config.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:52:18 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/cat_pid_releate.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
[11-Mar-2019 16:52:18 PRC] PHP Warning:  file_put_contents(F:/phpstudy/PHPTutorial/WWW/shengqin//temp/static_caches/cat_option_static.php): failed to open stream: No such file or directory in F:\phpstudy\PHPTutorial\WWW\shengqin\includes\lib_base.php on line 1295
